"","15C","No Treatment"
"C3_00570C_ATPK1",0.418898377419182,0.907816997542591
"C3_00570C_AC1_12120W_A",0.72884400127651,1.03080949194774
"C3_00570C_ASSK1",0.737198964087709,0.812105150296704
"C3_00570C_AFGR15",1.07435167440145,0.87113449539608
"C3_00570C_AHOG1",0.252791838003676,0.720670370971719
"C3_00570C_ASSN3",0.622245668197543,0.836601470163765
"C3_00570C_AEFH1",0.126055742535193,0.613523825582823
"C3_00570C_ARCK2",0.729722905356375,0.958318128772066
"C3_00570C_ATPK2",0.755806542798285,0.952791960927192
"C3_00570C_AGCN4",0.302672512023722,0.821645557880897
"C3_00570C_AC2_10540W_A",NA,NA
