"","15C_R1_lower","15C_R1_upper","15C_R2_lower","15C_R2_upper","15C_R3_lower","15C_R3_upper","No Treatment_R1_lower","No Treatment_R1_upper","No Treatment_R2_lower","No Treatment_R2_upper","No Treatment_R3_lower","No Treatment_R3_upper"
"PTC1PDE2",0.236960458231018,0.957513688362071,0.622048575136597,1.16434733294799,0.891294009438153,1.07707824887249,0.91273136561047,0.895804821027108,0.874567954038401,0.877819136023674,0.89514084996065,0.873657469561594
"PTC1TPS2",0.598446055226295,NA,0.884609512176502,NA,0.498560237469363,NA,1.11780296344734,NA,0.981206723155352,NA,1.08458520438869,NA
"PTC1MSN4",NA,1.04456038730408,NA,0.964359329501707,NA,0.973603482605265,NA,0.986296732453539,NA,0.978605777567133,NA,0.984329429193093
"TPK1",0.839033459246562,0.839033459246562,0.796271252985506,0.796271252985506,0.734906010420641,0.734906010420641,0.966115083142608,0.966115083142608,0.927887338596877,0.927887338596877,0.950476829776399,0.950476829776399
"TPK1CAT1",1.22107174904759,1.01070889327108,0.407337528491815,1.66983848276313,1.22405945095662,0.858370220171308,1.01298859121961,1.05400291078698,0.882370790803056,1.04037823528732,0.992792579047266,1.05984676635341
"TPK1TYE7",0.203108964198015,0.460622115234784,0.331268471966235,0.696890711395635,0.562056116769706,0.411547365835559,1.00387429798241,1.01884777972923,0.834903533818072,0.986408614331788,0.972611221702699,1.00255775195593
"TPK1YAK1",NA,0.819689748370561,NA,0.758236724722716,NA,0.764302250837466,NA,0.934215056812428,NA,0.918133792641058,NA,0.927040414795611
"TPK1HSP30",1.09654661028333,NA,1.017116900963,NA,1.1464533762562,NA,0.990202858126622,NA,0.911631428670512,NA,0.988886509883802,NA
"TPK1PDE2",NA,1.20777294782034,NA,1.07355523322391,NA,0.704333920387142,NA,0.90101298859122,NA,0.896675991538257,NA,0.933550530068052
"TPK1TPS2",0.638342458908048,NA,0.215937966911324,NA,0.440943606252384,NA,1.06311720402418,NA,0.954547030876114,NA,0.975215267811675,NA
"TPK1MSN4",1.56804956288587,1.66718608112537,1.49070812384806,1.50175040624693,0.970075933755245,1.36398555534071,1.00192123514587,1.00517633987344,1.01827019778746,0.996162160287607,0.996047636683487,1.03445731679089
